pokemon_id,species_id,pokedex_number,identifier,name_zh,name_en,name_ja,species_name_zh,species_name_en,species_name_ja,genus_zh,height_m,weight_kg,base_experience,generation_id,capture_rate,gender_rate,is_baby,is_legendary,is_mythical,is_default,is_mega,form_identifier,form_name_zh,type1_zh,type2_zh,hp,attack,defense,special_attack,special_defense,speed,total,mega_form_count,ability1_zh,ability1_en,ability1_hidden,ability2_zh,ability2_en,ability2_hidden,hidden_ability_zh,hidden_ability_en
1,1,1,bulbasaur,妙蛙種子,Bulbasaur,フシギダネ,妙蛙種子,Bulbasaur,フシギダネ,種子寶可夢,0.7,6.9,64,1,45,1,False,False,False,True,False,,,草,毒,45,49,49,65,65,45,318,0,茂盛,Overgrow,False,,,,葉綠素,Chlorophyll
2,2,2,ivysaur,妙蛙草,Ivysaur,フシギソウ,妙蛙草,Ivysaur,フシギソウ,種子寶可夢,1.0,13.0,142,1,45,1,False,False,False,True,False,,,草,毒,60,62,63,80,80,60,405,0,茂盛,Overgrow,False,,,,葉綠素,Chlorophyll
3,3,3,venusaur,妙蛙花,Venusaur,フシギバナ,妙蛙花,Venusaur,フシギバナ,種子寶可夢,2.0,100.0,236,1,45,1,False,False,False,True,False,,,草,毒,80,82,83,100,100,80,525,1,茂盛,Overgrow,False,,,,葉綠素,Chlorophyll
4,4,4,charmander,小火龍,Charmander,ヒトカゲ,小火龍,Charmander,ヒトカゲ,蜥蜴寶可夢,0.6,8.5,62,1,45,1,False,False,False,True,False,,,火,,39,52,43,60,50,65,309,0,猛火,Blaze,False,,,,太陽之力,Solar Power
5,5,5,charmeleon,火恐龍,Charmeleon,リザード,火恐龍,Charmeleon,リザード,火焰寶可夢,1.1,19.0,142,1,45,1,False,False,False,True,False,,,火,,58,64,58,80,65,80,405,0,猛火,Blaze,False,,,,太陽之力,Solar Power
6,6,6,charizard,噴火龍,Charizard,リザードン,噴火龍,Charizard,リザードン,火焰寶可夢,1.7,90.5,240,1,45,1,False,False,False,True,False,,,火,飛行,78,84,78,109,85,100,534,2,猛火,Blaze,False,,,,太陽之力,Solar Power
7,7,7,squirtle,傑尼龜,Squirtle,ゼニガメ,傑尼龜,Squirtle,ゼニガメ,小龜寶可夢,0.5,9.0,63,1,45,1,False,False,False,True,False,,,水,,44,48,65,50,64,43,314,0,激流,Torrent,False,,,,雨盤,Rain Dish
8,8,8,wartortle,卡咪龜,Wartortle,カメール,卡咪龜,Wartortle,カメール,龜寶可夢,1.0,22.5,142,1,45,1,False,False,False,True,False,,,水,,59,63,80,65,80,58,405,0,激流,Torrent,False,,,,雨盤,Rain Dish
9,9,9,blastoise,水箭龜,Blastoise,カメックス,水箭龜,Blastoise,カメックス,甲殼寶可夢,1.6,85.5,239,1,45,1,False,False,False,True,False,,,水,,79,83,100,85,105,78,530,1,激流,Torrent,False,,,,雨盤,Rain Dish
10,10,10,caterpie,綠毛蟲,Caterpie,キャタピー,綠毛蟲,Caterpie,キャタピー,蟲寶寶寶可夢,0.3,2.9,39,1,255,4,False,False,False,True,False,,,蟲,,45,30,35,20,20,45,195,0,鱗粉,Shield Dust,False,,,,逃跑,Run Away
11,11,11,metapod,鐵甲蛹,Metapod,トランセル,鐵甲蛹,Metapod,トランセル,蛹寶可夢,0.7,9.9,72,1,120,4,False,False,False,True,False,,,蟲,,50,20,55,25,25,30,205,0,蛻皮,Shed Skin,False,,,,,
12,12,12,butterfree,巴大蝶,Butterfree,バタフリー,巴大蝶,Butterfree,バタフリー,蝴蝶寶可夢,1.1,32.0,178,1,45,4,False,False,False,True,False,,,蟲,飛行,60,45,50,90,80,70,395,0,複眼,Compound Eyes,False,,,,有色眼鏡,Tinted Lens
